20031119	20031120	 Abbeville, LA	 formation	10 minutes
20030912	20030917	 Alachua County, FL	 light	2 seconds
19621115	19991126	 Alameda Naval Air Station/Marine Corp Air Wing Bubble, CA		30 min
19790601	19971207	 Alameda, CA	 disk	three minutes
19991116	19991116	 Alameda, CA	 chevron	5 seconds
19800410	20020731	 Alameda, CA	 fireball	5 min
20021013	20021015	 Alameda, CA	 cylinder	4min
20021005	20021012	 Alameda, CA	 light	7 seconds
20041006	20041006	 Alameda, CA	 light	3 minutes
20070812	20071118	 Alameda, CA	 light	3 hours at least
20100711	20100711	 Alameda, CA	 circle	15 minutes
20000412	20000416	 Alamo Lake State Park, AZ	 unknown	"&lt; 10 seconds"
19840904	20020413	 Alamo Lake, AZ		20 Min.
20071208	20071211	 Alamo, CA	 formation	10 minutes or more
19860329	20080120	 Alamo, NV	 rectangle	10-12min
20020924	20020925	 Alamo, TX	 diamond	10 minutes
19910720	20031111	 Alamo, TX	 circle	unkown
20080808	20080809	 Alamo, TX	 sphere	Approx. 10 minutes
19990105	19990105	 Alamogordo, NM	 disk	15 minutes
20000909	20001010	 Alamogordo, NM	 disk	5 minutes
19960715	20010530	 Alamogordo, NM	 changing	10min
20011201	20011202	 Alamogordo, NM	 triangle	about 5-10 mins.
19881127	20080502	 Alamogordo, NM	 light	15-20 minutes
20080628	20080629	 Alamogordo, NM	 light	40 seconds
20091130	20091130	 Alamogordo, NM	 sphere	7 min
19930421	20100304	 Alamogordo, NM	 light	10 minutes
19981209	19981212	 Alamosa, CO	 oval	45 seconds
19990703	19990706	 Alamosa, CO	 light	1minute
19680312	20050224	 Alamosa, CO	 sphere	90 seconds
19670808	20071023	 Alamosa, CO	 light	20 minutes
20081114	20090217	 Aland Islands (Forty miles south of) (Finland),	 fireball	Ten seconds
20071230	20080101	 Alappuzha (India),	 unknown	About 30 seconds
19980115	20000316	 Alaska (remote), AK	 disk	20 seconds
19971114	19971119	 Alaska Airlines/Sea-Tac to Anchorage (Canada), BC	 formation	unknow
20080429	20100609	 Alaska,	 cigar	on tv
19990901	19990901	 Alaska, AK	 light	all week
20030527	20030827	 Alba Iulia (Romania),	 other	5 min
19990525	20090506	 Albania,	 sphere	10 min
19970802	20081113	 Albany (about 10 minutes from), OR	 oval	7 seconds
19970601	19991103	 Albany (area), NY	 other	3 minutes
19360915	20090227	 Albany (Canada), PE	 rectangle	2O MINUTES
20021020	20021026	 Albany (maybe New York), NY	 cigar	seconds
20071210	20071211	 Albany (near), NY	 cigar	@40 MINUTES
19981214	19981214	 Albany (Western Australia),	 flash	10 Minutes
20041230	20050123	 Albany (Western Australia),	 circle	?
19950607	19950612	 Albany, CA		2 min.
20020507	20030404	 Albany, CA	 chevron	30-45 seconds
20030519	20030520	 Albany, CA	 chevron	20-30 seconds
19710601	20060114	 Albany, GA	 disk	2 minutes
20080228	20080301	 Albany, GA	 other	10 minutes
19670404	20081030	 Albany, GA	 unknown	15
19800115	20031230	 Albany, IL	 disk	5 min
20030604	20040102	 Albany, IN	 sphere	
19970901	20070117	 Albany, ME	 light	2 min
20020614	20021212	 Albany, NH	 light	5 min
19951103	19951106	 Albany, NY		3 nights
19981203	19981214	 Albany, NY	 light	unknown
19981203	19990216	 Albany, NY	 oval	
19980708	19990109	 Albany, NY	 rectangle	5 min
19991116	19991123	 Albany, NY	 fireball	3-4min
19950606	20010125	 Albany, NY	 other	all night
20010929	20010929	 Albany, NY	 formation	3 hours
20020724	20020727	 Albany, NY	 fireball	5-10 seconds
20011001	20020603	 Albany, NY	 flash	2 seconds
20020724	20020730	 Albany, NY	 fireball	5-10 seconds
20021021	20021022	 Albany, NY	 cigar	?
20021020	20021025	 Albany, NY	 cylinder	???
20021020	20021022	 Albany, NY	 cigar	5 seconds
20021021	20021103	 Albany, NY	 other	8 seconds
20021020	20021025	 Albany, NY		
20021020	20021024	 Albany, NY		
20021020	20021028	 Albany, NY		1/3 second (est.)
20021020	20021029	 Albany, NY		
20030108	20030109	 Albany, NY	 triangle	5
20021023	20030216	 Albany, NY	 triangle	15 minutes
20030131	20030201	 Albany, NY	 sphere	long time
19740615	20030715	 Albany, NY	 triangle	2 minutes
20031122	20031122	 Albany, NY	 other	8 seconds
20031012	20031125	 Albany, NY	 unknown	30 seconds
19750610	20050707	 Albany, NY	 cigar	5 min
19720625	20050601	 Albany, NY	 cigar	10 seconds
20060902	20060902	 Albany, NY	 cross	3 minutes
20061128	20061205	 Albany, NY		2 min
20070523	20070527	 Albany, NY	 egg	20-30 seconds
20060601	20071025	 Albany, NY	 light	1-2 minutes
19751115	20080211	 Albany, NY	 circle	30 seconds
20081010	20081010	 Albany, NY	 oval	45 seconds
20090828	20090906	 Albany, NY	 disk	30 seconds
20100720	20100720	 Albany, NY	 other	A few seconds
19960427	19960430	 Albany, OR		7 min.
19980316	19980330	 Albany, OR	 cigar	8-10 minutes
19980806	19980808	 Albany, OR	 cone	45 seconds
19990815	19990816	 Albany, OR	 sphere	6 minutes
19990908	19990909	 Albany, OR	 triangle	appox 10-15 sec
19991012	19991014	 Albany, OR	 fireball	2min
19910711	20010814	 Albany, OR	 egg	10-15 minutes
20030117	20030117	 Albany, OR	 light	5 min
20031231	20031231	 Albany, OR	 formation	5 minutes
19950401	20040410	 Albany, OR	 other	1 or 2 minutes
20040408	20040415	 Albany, OR	 egg	Bright Flashes
19960701	20040410	 Albany, OR	 egg	5 minutes
20040819	20040821	 Albany, OR	 triangle	1 minute
20050908	20050909	 Albany, OR	 oval	4 seconds
20070507	20071020	 Albany, OR	 triangle	4-5 seconds
20070915	20071024	 Albany, OR	 formation	few seconds
20080216	20080219	 Albany, OR	 circle	~ 1 min
20090708	20090708	 Albany, OR	 circle	2 minutes
20090718	20090805	 Albany, OR	 changing	5 minutes
20080422	20080422	 Albany, TX	 fireball	20 seconds
19630601	19970601	 Albemarle, NC	 disk	20 min
20080301	20090914	 Albemarle, NC	 chevron	five seconds
20030501	20030519	 Albert Falls (South Africa),	 sphere	Not physically seen, capt
19980712	20000617	 Albert Falls Dam/Reserve Ntl (South Africa), .	 light	6mins
20010806	20010812	 Albert Lea, MN	 light	5 Min
19630711	20040615	 Albert Lea, MN	 oval	6 min
20060205	20060206	 Albert Lea, MN	 unknown	20 seconds
19980828	20010206	 Alberta (Canada), AB	 other	30 sec
20100412	20100412	 Alberta (Canada), AB		
19960716	20010308	 Alberta (rural) (Canada), AB	 unknown	40 Seconds
20030427	20040428	 Alberta Rocky Mountains (Canada), AB	 diamond	30-45 sec
20010825	20010830	 Alberta/3-34-83-8 w6m (well lease #) (Canada), AB	 triangle	45-60 sec
19980128	19980402	 Alberton, MT	 oval	5min
19980123	19980331	 Alberton, MT	 circle	1hr
0	19990918	 Albertson, NY		
20050325	20050326	 Albertville(France),	 fireball	6 seconds
20001004	20001013	 Albi (France), .	 circle	0.5 hour
20040620	20040621	 Albia, IA	 other	10 minutes
20070620	20070620	 Albia, IA	 light	8 seconds
0	20031009	 Albinea (Italy),	 cigar	00:15
20050921	20050927	 Albion (rural), NE	 flash	5-10 seconds
20080418	20080419	 Albion, IL		
20000823	20001023	 Albion, IN	 formation	my home
20010318	20010318	 Albion, IN	 oval	almost 5 minute
20090909	20090911	 Albion, MI	 light	3 min
19750815	20011026	 Albion, NY	 cigar	2-5 minutes
20040104	20040104	 Albion, NY	 teardrop	Unsure
19750720	20040714	 Albion, NY	 light	1 hour
20050304	20050304	 Albion, NY	 light	2 minutes
19970701	19980313	 Albion, PA	 cigar	15 minutes
20001229	20010106	 Albrightsville, PA	 other	10 mins
20021015	20021229	 Albrightsville, PA	 light	3 minutes
20040602	20040623	 Albufeira (Portugal),	 triangle	2-3mins
20040803	20040809	 Albuquerque (20 miles east of), NM	 sphere	approx 30 sec
19940103	19980709	 Albuquerque (30-60 miles west of city), NM	 triangle	3-4 minutes?
20090501	20100821	 Albuquerque (near), NM	 light	3 minutes
20090501	20100821	 Albuquerque (near), NM	 light	3 minutes
19980824	20000202	 Albuquerque (Outside of), NM	 triangle	10 Seconds
19970323	19970430	 Albuquerque (over, from Tent Rocks), NM	 other	2.30 Hr.
19950216	19950216	 Albuquerque, NM		
19950220	19950220	 Albuquerque, NM		
19940424	19971205	 Albuquerque, NM	 sphere	2-3sec
19971122	19971122	 Albuquerque, NM	 other	3 minutes
19981004	19981005	 Albuquerque, NM		1 minute +
19980810	19980820	 Albuquerque, NM	 fireball	20 min
19990212	19990212	 Albuquerque, NM	 sphere	10 minutes
19931101	19990303	 Albuquerque, NM	 cigar	10 min.
19981215	19981222	 Albuquerque, NM	 cross	15 seconds
19990316	19990316	 Albuquerque, NM	 sphere	5 minutes +
19990422	19990422	 Albuquerque, NM	 triangle	20-30 Seconds
19990422	19990428	 Albuquerque, NM	 fireball	4 seconds
19650620	19990520	 Albuquerque, NM	 disk	5 minutes
19990703	19990704	 Albuquerque, NM		
19990815	19990819	 Albuquerque, NM	 unknown	2 secons
19990828	19990829	 Albuquerque, NM		less than 8-10 sec.
19950615	19991024	 Albuquerque, NM	 disk	30 sec
19661020	20000210	 Albuquerque, NM	 diamond	3 minutes
20000416	20000416	 Albuquerque, NM	 rectangle	5 min
20000319	20000321	 Albuquerque, NM	 oval	1 minute
19811201	20000601	 Albuquerque, NM	 rectangle	10 minutes?
19950905	20000326	 Albuquerque, NM	 triangle	20 sec.
20000603	20000608	 Albuquerque, NM	 sphere	1 hour
20000628	20000724	 Albuquerque, NM	 light	10 minutes
20001001	20001001	 Albuquerque, NM	 triangle	ONGOING
20000925	20000926	 Albuquerque, NM	 light	30 minutes
19971123	20010211	 Albuquerque, NM	 fireball	
19921011	20010225	 Albuquerque, NM	 sphere	15 minutes
20010526	20010526	 Albuquerque, NM	 disk	2 hrs so far
20010921	20010927	 Albuquerque, NM	 oval	5-7 seconds
20011202	20011202	 Albuquerque, NM	 formation	45 min
20011201	20011208	 Albuquerque, NM	 fireball	10 minutes
20000901	20020212	 Albuquerque, NM	 diamond	
19670815	20020824	 Albuquerque, NM	 cigar	half an hour
20020827	20020828	 Albuquerque, NM	 light	30 seconds
20020823	20020823	 Albuquerque, NM	 flash	5sec
20020811	20020820	 Albuquerque, NM	 circle	2 MIN.
20020813	20020814	 Albuquerque, NM	 other	20:30pm
20030329	20030329	 Albuquerque, NM	 light	15+ min. still happening
20030718	20030719	 Albuquerque, NM	 triangle	20 seconds
20030830	20030830	 Albuquerque, NM	 light	30 seconds
20030919	20030919	 Albuquerque, NM	 light	5 min
20030919	20030919	 Albuquerque, NM	 sphere	1 hour
20020525	20031021	 Albuquerque, NM	 circle	45 min.
19931111	20031018	 Albuquerque, NM	 triangle	Ten seconds
20030628	20031028	 Albuquerque, NM	 circle	1 minute or so
20030303	20031114	 Albuquerque, NM	 triangle	33 minutes
19970205	20040117	 Albuquerque, NM	 flash	3 min
20030405	20040202	 Albuquerque, NM	 chevron	15 minutes
20040122	20040122	 Albuquerque, NM	 other	15 minutes
20030612	20040217	 Albuquerque, NM	 unknown	less than one second
20040313	20040313	 Albuquerque, NM	 chevron	25sec
20031115	20040501	 Albuquerque, NM	 oval	10 SECONDS
20040603	20040603	 Albuquerque, NM	 sphere	1-2 min
20040527	20040601	 Albuquerque, NM	 light	15 minutes
19670922	20040606	 Albuquerque, NM	 unknown	~1hr
20030810	20040608	 Albuquerque, NM	 unknown	100 minutes
20040731	20040803	 Albuquerque, NM	 circle	3 minutes
20040831	20040831	 Albuquerque, NM	 circle	60 sec
19780415	20040717	 Albuquerque, NM	 disk	2 minutes
20041001	20041001	 Albuquerque, NM	 oval	1hr
20040830	20040831	 Albuquerque, NM	 unknown	3 minutes
20040916	20040916	 Albuquerque, NM	 light	30 min
19770715	20050224	 Albuquerque, NM	 chevron	10 minutes
20010911	20050225	 Albuquerque, NM	 sphere	10 minutes
20000809	20050224	 Albuquerque, NM	 circle	20 seconds
19980819	20050226	 Albuquerque, NM	 light	3min
19770724	20050224	 Albuquerque, NM	 oval	1 hour
20050619	20050620	 Albuquerque, NM	 unknown	about 5 min
20050601	20050604	 Albuquerque, NM	 circle	1/2 hour
19940425	20050622	 Albuquerque, NM	 sphere	3 seconds
19980801	20050606	 Albuquerque, NM	 triangle	10 Minutes
19701205	20050716	 Albuquerque, NM	 other	a few min
20050920	20050920	 Albuquerque, NM		20 min
20050920	20050920	 Albuquerque, NM	 light	10 minutes
20051001	20051013	 Albuquerque, NM	 disk	10 minutes
20050911	20050911	 Albuquerque, NM	 circle	10 seconds
20060224	20060225	 Albuquerque, NM	 disk	20 seconds
20060101	20060226	 Albuquerque, NM	 changing	1 minute
19980715	20060502	 Albuquerque, NM	 fireball	1-2 minutes
20060421	20060421	 Albuquerque, NM	 triangle	10-12 sec
20060719	20060720	 Albuquerque, NM	 cigar	30 seconds
20060720	20060720	 Albuquerque, NM	 disk	04:36
20060930	20061009	 Albuquerque, NM	 unknown	seconds
19860715	20060919	 Albuquerque, NM	 chevron	5 min.
20061018	20061022	 Albuquerque, NM	 other	4 seconds
20061105	20061106	 Albuquerque, NM	 light	about a minute
20061205	20061207	 Albuquerque, NM	 disk	5 min.
20061118	20061122	 Albuquerque, NM	 other	approx 10 sec
19791208	20070103	 Albuquerque, NM	 circle	10-minutes
20031010	20070103	 Albuquerque, NM	 light	3 minutes
20070301	20070301	 Albuquerque, NM	 sphere	~60 seconds
20070530	20070531	 Albuquerque, NM	 disk	45 minutes
20070420	20070420	 Albuquerque, NM	 light	5
20070306	20070406	 Albuquerque, NM	 circle	15 minutes
20070528	20070528	 Albuquerque, NM	 sphere	2hrs+
20070220	20070413	 Albuquerque, NM	 chevron	1-1.5 minutes
20070526	20070709	 Albuquerque, NM	 circle	0
20070921	20070921	 Albuquerque, NM	 cigar	30-60 seconds
19981104	20070808	 Albuquerque, NM	 oval	4-5 mins.
20071115	20071115	 Albuquerque, NM	 light	5 minutes
20071026	20071103	 Albuquerque, NM	 light	3 minutes
20071203	20071203	 Albuquerque, NM	 unknown	10 seconds
20071203	20071203	 Albuquerque, NM	 unknown	15 seconds
20080125	20080128	 Albuquerque, NM	 light	10 sec
20080323	20080324	 Albuquerque, NM	 flash	two to three mins.
20080326	20080326	 Albuquerque, NM	 light	2 minutes
20080313	20080313	 Albuquerque, NM	 light	2 minutes
20080608	20080608	 Albuquerque, NM	 other	approx 10 min
20080509	20080610	 Albuquerque, NM	 unknown	10-15 seconds
20080704	20080705	 Albuquerque, NM	 sphere	4 seconds
20080719	20080720	 Albuquerque, NM	 disk	3-5 Minutes
20080718	20080718	 Albuquerque, NM	 light	15 minutes
20081103	20081108	 Albuquerque, NM	 rectangle	20 minutes
20081028	20081028	 Albuquerque, NM	 fireball	7-10 seconds
20081011	20081017	 Albuquerque, NM	 fireball	2 minutes
20081005	20081005	 Albuquerque, NM	 unknown	2-3 seconds
20081019	20081024	 Albuquerque, NM	 other	about 5 seconds
20081006	20081006	 Albuquerque, NM	 light	5min
20090116	20090117	 Albuquerque, NM	 other	30 seconds
20040814	20090207	 Albuquerque, NM		5 min
20090128	20090128	 Albuquerque, NM		1 minute
20090421	20090421	 Albuquerque, NM	 teardrop	about 30 -45 seconds
20030810	20090621	 Albuquerque, NM		10 minutes
20090528	20090529	 Albuquerque, NM	 light	1 Minute
20090528	20090530	 Albuquerque, NM	 light	1 Minute
20090724	20090725	 Albuquerque, NM	 changing	Approximately 15 minutes
20090807	20090807	 Albuquerque, NM	 rectangle	15 min
20090819	20090820	 Albuquerque, NM	 cigar	3 hrs
20090804	20090804	 Albuquerque, NM	 other	2 minutes
20100101	20100101	 Albuquerque, NM	 light	Half an hour
20091117	20091117	 Albuquerque, NM	 chevron	5 to 10 seconds
20100206	20100206	 Albuquerque, NM	 oval	10 min
